Block/Room,bedsTaken,block,room,bedsAvailable,roomLocation,maxOccupancy,size,code,vacancyStatus,bedsRemaining,price
Block 4 Room 30,0,4,30,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 31,0,4,31,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 32,0,4,32,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 4 Room 33,0,4,33,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 4 Room 34,0,4,34,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 4 Room 35,0,4,35,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 4 Room 36,1,4,36,3,Terrace,3-in-a-room,Small,Terrace 3-in-a-room Small,VACANCY,2,3870
Block 5 Room 1,3,5,1,3,Terrace,3-in-a-room,Large,Terrace 3-in-a-room Large,FULLY BOOKED,0,4200
Block 5 Room 2,0,5,2,4,Ground Floor,4-in-a-room,Large,Ground Floor 4-in-a-room Large,VACANCY,4,3000
Block 5 Room 3,1,5,3,2,Ground Floor,2-in-a-room,Large,Ground Floor 2-in-a-room Large,VACANCY,1,6000
Block 5 Room 4,1,5,4,3,Ground Floor,3-in-a-room,Large,Ground Floor 3-in-a-room Large,VACANCY,2,4000
Block 5 Room 5,1,5,5,2,Ground Floor,2-in-a-room,Large,Ground Floor 2-in-a-room Large,VACANCY,1,6000
Block 5 Room 6,4,5,6,4,Ground Floor,4-in-a-room,Large,Ground Floor 4-in-a-room Large,FULLY BOOKED,0,3000
Block 5 Room 7,0,5,7,2,Ground Floor,2-in-a-room,Large,Ground Floor 2-in-a-room Large,VACANCY,2,6000
Block 5 Room 8,0,5,8,4,Ground Floor,4-in-a-room,Large,Ground Floor 4-in-a-room Large,VACANCY,4,3000
Block 5 Room 9,1,5,9,4,Ground Floor,4-in-a-room,Large,Ground Floor 4-in-a-room Large,VACANCY,3,3000
Block 5 Room 10,0,5,10,2,Ground Floor,2-in-a-room,Large,Ground Floor 2-in-a-room Large,VACANCY,2,6000
Block 5 Room 11,2,5,11,2,Ground Floor,2-in-a-room,Large,Ground Floor 2-in-a-room Large,FULLY BOOKED,0,6000
Block 5 Room 12,3,5,12,3,Terrace,3-in-a-room,Large,Terrace 3-in-a-room Large,FULLY BOOKED,0,4200
Block 5 Room 13,1,5,13,4,Terrace,4-in-a-room,Large,Terrace 4-in-a-room Large,VACANCY,3,3100
Block 5 Room 14,2,5,14,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,FULLY BOOKED,0,6000
Block 5 Room 15,2,5,15,4,First Floor,4-in-a-room,Large,First Floor 4-in-a-room Large,VACANCY,2,4000
Block 5 Room 16,0,5,16,4,First Floor,4-in-a-room,Large,First Floor 4-in-a-room Large,VACANCY,4,4000
Block 5 Room 17,0,5,17,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,VACANCY,2,6000
Block 5 Room 18,0,5,18,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,VACANCY,2,6000
Block 5 Room 19,3,5,19,3,First Floor,3-in-a-room,Large,First Floor 3-in-a-room Large,FULLY BOOKED,0,3000
Block 5 Room 20,1,5,20,4,First Floor,4-in-a-room,Large,First Floor 4-in-a-room Large,VACANCY,3,4000
Block 5 Room 21,0,5,21,3,First Floor,3-in-a-room,Large,First Floor 3-in-a-room Large,VACANCY,3,3000
Block 5 Room 22,3,5,22,3,First Floor,3-in-a-room,Large,First Floor 3-in-a-room Large,FULLY BOOKED,0,3000
Block 5 Room 23,0,5,23,4,First Floor,4-in-a-room,Large,First Floor 4-in-a-room Large,VACANCY,4,4000
Block 5 Room 24,2,5,24,2,Terrace,2-in-a-room,Large,Terrace 2-in-a-room Large,FULLY BOOKED,0,6200
Block 5 Room 25,1,5,25,2,Terrace,2-in-a-room,Large,Terrace 2-in-a-room Large,VACANCY,1,6200
Block 5 Room 26,1,5,26,3,Second Floor,3-in-a-room,Large,Second Floor 3-in-a-room Large,VACANCY,2,4000
Block 5 Room 27,2,5,27,2,Second Floor,2-in-a-room,Large,Second Floor 2-in-a-room Large,FULLY BOOKED,0,6000
Block 5 Room 28,0,5,28,2,Second Floor,2-in-a-room,Large,Second Floor 2-in-a-room Large,VACANCY,2,6000
Block 5 Room 29,3,5,29,4,Second Floor,4-in-a-room,Large,Second Floor 4-in-a-room Large,VACANCY,1,3000
Block 5 Room 30,1,5,30,2,Second Floor,2-in-a-room,Large,Second Floor 2-in-a-room Large,VACANCY,1,6000
